Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
llite,statfs,0,0,1417,0,2913,222,0,277,0,1074104366,7,0,0,0,6,7225,2288,122912,504769,136881,0,0,0,541179904,0,8494284122,1349489
llite,alloc_inode,0,0,18456,0,32055,0,0,0,0,812482153932,0,569753,0,0,10498,5167,2284,553,625488,628,0,0,57,24576,0,848,0
llite,setxattr,0,0,108,0,179,1,0,8,0,1842937111725,0,7,0,0,101738,45187072,69884,0,625460,0,0,0,0,1194352,0,1828,19675
llite,getxattr,0,0,0,0,0,135340,309691,504769,413955,1695438552511,0,8271,0,0,425,5361,96,8,12892,9,17168,0,0,1,0,60,185192
llite,listxattr,0,0,14,0,1,135340,0,625488,0,625488,1171009178,81538,0,953,0,0,152,0,934633,0,1040103,0,0,17367,0,0,806
llite,removexattr,0,0,0,153923,308,256811,4351,625460,5965,625460,900934749565,372,0,264997,147,1460,15956,0,0,0,0,0,0,167436,0,1,0
llite,inode_permission,0,6462,0,0,0,0,45673,12892,59719,12892,2065129256489,0,0,0,548,6255,136,0,13679,0,15055,0,0,655,0,504769,51
llite,readdir,0,0,0,2205,0,3842,249,136092,305,136344,1899242596179,8,0,967,0,6,3565,0,131027,0,144084,0,0,0,0,625496,0
llite,create,0,117014528,1435200,23686,28,39101,0,136076,0,136344,0,1296160792,623675,1120,2,11084,4708,0,575,0,649,0,0,58,0,625472,0
llite,lookup,0,0,0,126,28,217,1,342056,9,342056,0,990084659767,7,822,504769,108590,105947136,0,0,0,0,0,0,620265472,1248449,12892,0
llite,link,0,1413,0,0,0,0,0,361564,0,464867,0,2284303915611,9059,268296,106104,454,902,0,9,0,9,0,0,0,1,132792,0
